date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:19:29	31654/31654	---M-Z	200	added ('OK')	text/html	etag:%227ba6-5dbaa9ab73520-gzip%22	https://preview.erilisdesign.com/html/lana/text-boxed-section-image-background.html	C:/Users/kelvi/Downloads/Eddie/maven_story/preview.erilisdesign.com/html/lana/text-boxed-section-image-background.html	(from )
22:19:34	852/852	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Aug%202022%2019:19:35%20GMT	https://preview.erilisdesign.com/robots.txt		(from )
22:19:34	3732/3732	---M-Z	200	added ('OK')	text/css	etag:%22e94-5dbaaa8460b2e-gzip%22	https://preview.erilisdesign.com/html/lana/assets/vendor/fullPage.js/dist/jquery.fullpage.min.css	C:/Users/kelvi/Downloads/Eddie/maven_story/preview.erilisdesign.com/html/lana/assets/vendor/fullPage.js/dist/jquery.fullpage.min.css	(from https://preview.erilisdesign.com/html/lana/text-boxed-section-image-background.html)
22:19:35	1370/1370	---M-Z	200	added ('OK')	text/css	etag:%2255a-5dbaaa4957c9b-gzip%22	https://preview.erilisdesign.com/html/lana/assets/vendor/slick/slick.min.css	C:/Users/kelvi/Downloads/Eddie/maven_story/preview.erilisdesign.com/html/lana/assets/vendor/slick/slick.min.css	(from https://preview.erilisdesign.com/html/lana/text-boxed-section-image-background.html)
22:19:35	9461/9461	---M-Z	200	added ('OK')	text/css	etag:%2224f5-5dbaaa49939c5-gzip%22	https://preview.erilisdesign.com/html/lana/assets/vendor/vegas/vegas.min.css	C:/Users/kelvi/Downloads/Eddie/maven_story/preview.erilisdesign.com/html/lana/assets/vendor/vegas/vegas.min.css	(from https://preview.erilisdesign.com/html/lana/text-boxed-section-image-background.html)
22:19:35	5259/5259	---M-Z	200	added ('OK')	text/css	etag:%22148b-5dbaaa85d1136-gzip%22	https://preview.erilisdesign.com/html/lana/assets/vendor/magnific-popup/dist/magnific-popup.min.css	C:/Users/kelvi/Downloads/Eddie/maven_story/preview.erilisdesign.com/html/lana/assets/vendor/magnific-popup/dist/magnific-popup.min.css	(from https://preview.erilisdesign.com/html/lana/text-boxed-section-image-background.html)
22:19:36	58139/58139	---M-Z	200	added ('OK')	text/css	etag:%22e31b-5dbaaa493798e-gzip%22	https://preview.erilisdesign.com/html/lana/assets/vendor/animate.css/animate.min.css	C:/Users/kelvi/Downloads/Eddie/maven_story/preview.erilisdesign.com/html/lana/assets/vendor/animate.css/animate.min.css	(from https://preview.erilisdesign.com/html/lana/text-boxed-section-image-background.html)
22:19:36	57184/57184	---M-Z	200	added ('OK')	text/css	etag:%22df60-5dbaaa8354b4e-gzip%22	https://preview.erilisdesign.com/html/lana/assets/vendor/font-awesome/css/all.min.css	C:/Users/kelvi/Downloads/Eddie/maven_story/preview.erilisdesign.com/html/lana/assets/vendor/font-awesome/css/all.min.css	(from https://preview.erilisdesign.com/html/lana/text-boxed-section-image-background.html)
22:19:37	17531/17531	---M-Z	200	added ('OK')	text/css	etag:%22447b-5dbaaa863e7c7-gzip%22	https://preview.erilisdesign.com/html/lana/assets/vendor/themify-icons/css/themify-icons.css	C:/Users/kelvi/Downloads/Eddie/maven_story/preview.erilisdesign.com/html/lana/assets/vendor/themify-icons/css/themify-icons.css	(from https://preview.erilisdesign.com/html/lana/text-boxed-section-image-background.html)
22:19:38	264786/264786	---M-Z	200	added ('OK')	text/css	etag:%2240a52-5dbaa9fd550e7-gzip%22	https://preview.erilisdesign.com/html/lana/assets/css/theme.css	C:/Users/kelvi/Downloads/Eddie/maven_story/preview.erilisdesign.com/html/lana/assets/css/theme.css	(from https://preview.erilisdesign.com/html/lana/text-boxed-section-image-background.html)
22:19:38	38/38	---M--	200	added ('OK')	text/css	etag:%2226-5dbaa9fd41830%22	https://preview.erilisdesign.com/html/lana/assets/css/custom.css	C:/Users/kelvi/Downloads/Eddie/maven_story/preview.erilisdesign.com/html/lana/assets/css/custom.css	(from https://preview.erilisdesign.com/html/lana/text-boxed-section-image-background.html)
22:19:39	4619/4619	---M--	200	added ('OK')	image/png	etag:%22120b-5dbaa9fdb15c1%22	https://preview.erilisdesign.com/html/lana/assets/images/logo.png	C:/Users/kelvi/Downloads/Eddie/maven_story/preview.erilisdesign.com/html/lana/assets/images/logo.png	(from https://preview.erilisdesign.com/html/lana/text-boxed-section-image-background.html)
22:19:40	124946/124946	---M--	200	added ('OK')	image/jpeg	etag:%221e812-5dbaa9fd54030%22	https://preview.erilisdesign.com/html/lana/assets/images/image-10.jpg	C:/Users/kelvi/Downloads/Eddie/maven_story/preview.erilisdesign.com/html/lana/assets/images/image-10.jpg	(from https://preview.erilisdesign.com/html/lana/text-boxed-section-image-background.html)
22:19:41	94231/94231	---M--	200	added ('OK')	image/jpeg	etag:%2217017-5dbaa9fd9c224%22	https://preview.erilisdesign.com/html/lana/assets/images/image-7.jpg	C:/Users/kelvi/Downloads/Eddie/maven_story/preview.erilisdesign.com/html/lana/assets/images/image-7.jpg	(from https://preview.erilisdesign.com/html/lana/text-boxed-section-image-background.html)
22:19:44	79929/79929	---M--	200	added ('OK')	image/jpeg	etag:%2213839-5dbaa9fd7e241%22	https://preview.erilisdesign.com/html/lana/assets/images/image-2.jpg	C:/Users/kelvi/Downloads/Eddie/maven_story/preview.erilisdesign.com/html/lana/assets/images/image-2.jpg	(from https://preview.erilisdesign.com/html/lana/text-boxed-section-image-background.html)
22:19:45	52017/52017	---M--	200	added ('OK')	image/jpeg	etag:%22cb31-5dbaa9fd669ec%22	https://preview.erilisdesign.com/html/lana/assets/images/image-13.jpg	C:/Users/kelvi/Downloads/Eddie/maven_story/preview.erilisdesign.com/html/lana/assets/images/image-13.jpg	(from https://preview.erilisdesign.com/html/lana/text-boxed-section-image-background.html)
22:19:45	258194/258194	---M--	200	added ('OK')	image/jpeg	etag:%223f092-5dbaa9fd8f8a4%22	https://preview.erilisdesign.com/html/lana/assets/images/image-3.jpg	C:/Users/kelvi/Downloads/Eddie/maven_story/preview.erilisdesign.com/html/lana/assets/images/image-3.jpg	(from https://preview.erilisdesign.com/html/lana/text-boxed-section-image-background.html)
22:19:46	63664/63664	---M--	200	added ('OK')	image/jpeg	etag:%22f8b0-5dbaaa48c97d2%22	https://preview.erilisdesign.com/html/lana/assets/images/portfolio/project-6-min.jpg	C:/Users/kelvi/Downloads/Eddie/maven_story/preview.erilisdesign.com/html/lana/assets/images/portfolio/project-6-min.jpg	(from https://preview.erilisdesign.com/html/lana/text-boxed-section-image-background.html)
22:19:46	57569/57569	---M--	200	added ('OK')	image/jpeg	etag:%22e0e1-5dbaaa487c9a3%22	https://preview.erilisdesign.com/html/lana/assets/images/portfolio/project-1.jpg	C:/Users/kelvi/Downloads/Eddie/maven_story/preview.erilisdesign.com/html/lana/assets/images/portfolio/project-1.jpg	(from https://preview.erilisdesign.com/html/lana/text-boxed-section-image-background.html)
22:19:46	31877/31877	---M--	200	added ('OK')	image/jpeg	etag:%227c85-5dbaaa487cc80%22	https://preview.erilisdesign.com/html/lana/assets/images/portfolio/project-1-min.jpg	C:/Users/kelvi/Downloads/Eddie/maven_story/preview.erilisdesign.com/html/lana/assets/images/portfolio/project-1-min.jpg	(from https://preview.erilisdesign.com/html/lana/text-boxed-section-image-background.html)
